Date,Symbols,Close,Change
15.06.16,CAT,64.09,1.002805357
15.06.16,CRM,81.99,1.011098798
15.06.16,CSCO,23.797,0.989295608
15.06.16,CVX,78.075,0.993582264
15.06.16,DIS,92.712,0.998678917
15.06.16,GE,222.1,1.004927727
15.06.16,GS,132.17,0.999795107
15.06.16,HD,110.82,1.010300287
15.06.16,HON,102.74,1.000086634
15.06.16,IBM,116.33,0.997484429
15.06.16,INTC,27.199,0.983509592
15.06.16,JNJ,100.01,0.99393797
15.06.16,JPM,52.554,0.998228156
15.06.16,KO,37.327,0.999333936
15.06.16,MCD,105.99,0.997877813
15.06.16,MMM,142.57,1.001133445
15.06.16,MRK,46.944,0.997155406
15.06.16,MSFT,45.513,0.997190246
15.06.16,NKE,51.113,1.003510669
15.06.16,PG,70.046,0.995200787
15.06.16,TRV,97.682,0.993424978
15.06.16,UNH,125.83,1.000109276
15.06.16,V,75.261,0.994909131
15.06.16,VZ,40.439,0.997169083
15.06.16,WBA,69.903,0.9866018
15.06.16,WMT,63.131,1.00239662
16.06.16,AAPL,22.686,1.00422073
16.06.16,AMGN,129.11,1.002633226
16.06.16,AXP,56.618,1.008303493
16.06.16,BA,118.05,0.9939303
16.06.16,CAT,64.025,0.998934254
16.06.16,CRM,81.64,0.995731205
16.06.16,CSCO,23.979,1.00767871
16.06.16,CVX,78.424,1.004372213
16.06.16,DIS,92.816,1.001119325
16.06.16,GE,224.13,1.0092227
16.06.16,GS,132.6,1.003215569
16.06.16,HD,111.6,1.006559576
16.06.16,HON,103,1.002337131
16.06.16,IBM,116.61,1.002521915
16.06.16,INTC,27.268,1.002530799
16.06.16,JNJ,100.2,1.001975531
16.06.16,JPM,52.766,1.004034337
16.06.16,KO,37.575,1.006665286
16.06.16,MCD,106.17,1.00179972
16.06.16,MMM,144.35,1.012693678
16.06.16,MRK,48.125,1.025138209
16.06.16,MSFT,46.154,1.014087516
16.06.16,NKE,50.325,0.98453321
16.06.16,PG,70.433,1.005546097
16.06.16,TRV,98.543,1.00840704
16.06.16,UNH,127.07,1.010199553
16.06.16,V,75.434,1.002302319
16.06.16,VZ,40.911,1.011733487
16.06.16,WBA,69.853,0.999278672
16.06.16,WMT,63.292,1.002530535
17.06.16,AAPL,22.171,0.977242598
17.06.16,AMGN,126.82,0.982403225
17.06.16,AXP,56.556,0.998869659
17.06.16,BA,118.46,1.003478696
17.06.16,CAT,64.828,1.012535073
17.06.16,CRM,80.5,0.986036264
17.06.16,CSCO,24.047,1.002771321
17.06.16,CVX,78.806,1.004947322
17.06.16,DIS,93.4,1.006302129
17.06.16,GE,223.85,0.99869435
17.06.16,GS,131.68,0.99324813
17.06.16,HD,111.38,0.998272779
17.06.16,HON,103.1,1.001122745
17.06.16,IBM,117.33,1.006156489
17.06.16,INTC,27.328,1.002208815
17.06.16,JNJ,99.203,0.990054948
17.06.16,JPM,52.816,1.000964246
17.06.16,KO,37.148,0.988523787
17.06.16,MCD,106,0.998366817
17.06.16,MMM,143.53,0.994174003
17.06.16,MRK,46.777,0.972000154
17.06.16,MSFT,45.915,0.994840254
17.06.16,NKE,50.549,1.004488322
17.06.16,PG,70.196,0.996642438
17.06.16,TRV,97.732,0.992106388
17.06.16,UNH,126.25,0.993004331
17.06.16,V,74.125,0.982642116
17.06.16,VZ,41.156,1.005986003
17.06.16,WBA,69.434,0.993987217
17.06.16,WMT,62.977,0.995090998
20.06.16,AAPL,22.118,0.997587382
20.06.16,AMGN,127.71,1.006884133
20.06.16,AXP,56.958,1.007112879
20.06.16,BA,121.15,1.022569556
20.06.16,CAT,65.252,1.006585088
20.06.16,CRM,81.22,1.008944115
20.06.16,CSCO,23.921,0.994818521
20.06.16,CVX,79.612,1.010239077
20.06.16,DIS,93.939,1.005757525
20.06.16,GE,225.52,1.0075164
20.06.16,GS,133.58,1.014487838
20.06.16,HD,111.81,1.003775333
20.06.16,HON,104.11,1.009834622
20.06.16,IBM,118.57,1.01065892
20.06.16,INTC,27.679,1.01290934
20.06.16,JNJ,100.12,1.009178962
20.06.16,JPM,52.897,1.001445193
20.06.16,KO,37.301,1.00424154
20.06.16,MCD,107.02,1.009405373
20.06.16,MMM,145.45,1.013555124
20.06.16,MRK,46.987,1.004472997
20.06.16,MSFT,45.86,0.998802967
20.06.16,NKE,51.163,1.012102256
20.06.16,PG,70.121,0.99891761
20.06.16,TRV,98.408,1.006705033
20.06.16,UNH,126.95,1.006028256
20.06.16,V,74.466,1.004546159
20.06.16,VZ,41.142,0.999628095
20.06.16,WBA,69.668,1.003387575
20.06.16,WMT,63.112,1.002114418
21.06.16,AAPL,22.304,1.008517322
21.06.16,AMGN,126.67,0.991835039
21.06.16,AXP,56.949,0.999839463
21.06.16,BA,120.01,0.990734618
21.06.16,CAT,65.305,1.000784882
21.06.16,CRM,81.63,1.005047969
21.06.16,CSCO,23.896,0.998958259
21.06.16,CVX,80.102,1.006139636
21.06.16,DIS,93.231,0.99246763
21.06.16,GE,226.32,1.003567936
21.06.16,GS,134.13,1.004060982
21.06.16,HD,111.91,1.000940164
21.06.16,HON,104.32,1.002050153
21.06.16,IBM,118.9,1.002864058
21.06.16,INTC,27.81,1.004662809
21.06.16,JNJ,99.82,0.996910998
21.06.16,JPM,53.389,1.009299351
21.06.16,KO,37.427,1.00333507
21.06.16,MCD,106.32,0.993599038
21.06.16,MMM,145.58,1.000817631
21.06.16,MRK,47.077,1.001959416
21.06.16,MSFT,46.886,1.022368461
21.06.16,NKE,51.55,1.007542184
21.06.16,PG,70.433,1.004456086
21.06.16,TRV,98.513,1.000976792
21.06.16,UNH,126.68,0.997617386
21.06.16,V,74.456,0.999870607
21.06.16,VZ,41.4,1.006324177
21.06.16,WBA,69.895,1.003255566
21.06.16,WMT,63.433,1.005063341
22.06.16,AAPL,22.225,0.996246427
22.06.16,AMGN,126.97,1.002610307
22.06.16,AXP,56.637,0.994541788
22.06.16,BA,120.22,1.001900704
22.06.16,CAT,65.252,0.999215734
22.06.16,CRM,80.62,0.987627165
22.06.16,CSCO,23.852,0.998262194
22.06.16,CVX,79.368,0.990798503
22.06.16,DIS,93.203,0.999696481
22.06.16,GE,225.16,0.994828739
22.06.16,GS,133.93,0.998584359
22.06.16,HD,111.79,0.998904104
22.06.16,HON,103.67,0.993776734
22.06.16,IBM,118.06,0.992664798
22.06.16,INTC,27.791,0.999072013
22.06.16,JNJ,100.05,1.002410171
22.06.16,JPM,53.184,0.996187385
22.06.16,KO,37.202,0.994017276
22.06.16,MCD,104.58,0.983609256
22.06.16,MMM,145.45,0.999183037
22.06.16,MRK,47.737,1.014044302
22.06.16,MSFT,46.713,0.996093217
22.06.16,NKE,51.361,0.996348275
22.06.16,PG,70.567,1.001917957
22.06.16,TRV,97.702,0.992104444
22.06.16,UNH,126.44,0.99790181
22.06.16,V,73.682,0.98965479
22.06.16,VZ,41.347,0.99870617
22.06.16,WBA,70.357,1.006490658
22.06.16,WMT,63.69,1.00405793
23.06.16,AAPL,22.348,1.005755905
23.06.16,AMGN,129.08,1.016420647
23.06.16,AXP,57.823,1.020984676
23.06.16,BA,121.85,1.013508492
23.06.16,CAT,66.782,1.023420304
23.06.16,CRM,82.28,1.020590374
23.06.16,CSCO,24.271,1.017409355
23.06.16,CVX,81.041,1.021018444
23.06.16,DIS,93.42,1.002328206
23.06.16,GE,228.16,1.013320407
23.06.16,GS,138.05,1.030511943
23.06.16,HD,112.34,1.005407473
23.06.16,HON,104.34,1.006433853
23.06.16,IBM,119.9,1.015890468
23.06.16,INTC,28.389,1.021678467
23.06.16,JNJ,100.84,1.007899724
23.06.16,JPM,54.318,1.021368287
23.06.16,KO,37.387,1.004904069
23.06.16,MCD,105.11,1.004891464
23.06.16,MMM,147.94,1.016819623
23.06.16,MRK,48.274,1.011220286
23.06.16,MSFT,47.549,1.01804293
23.06.16,NKE,50.94,0.99175395
23.06.16,PG,71.108,1.007657898
23.06.16,TRV,99.488,1.018062945
23.06.16,UNH,127.58,1.009354823
23.06.16,V,75.319,1.022213502
23.06.16,VZ,41.838,1.011845243
23.06.16,WBA,71.461,1.015762916
23.06.16,WMT,64.002,1.004877975
24.06.16,AAPL,21.72,0.971904493
24.06.16,AMGN,124.13,0.96177858
24.06.16,AXP,54.911,0.949565265
24.06.16,BA,115.42,0.947360536
24.06.16,CAT,62.35,0.933648468
24.06.16,CRM,78.46,0.953573168
24.06.16,CSCO,23.037,0.949692009
24.06.16,CVX,79.066,0.975679895
24.06.16,DIS,90.307,0.966673293
24.06.16,GE,218.14,0.956075687
24.06.16,GS,128.25,0.92925437
24.06.16,HD,110.72,0.985267578
24.06.16,HON,100.47,0.96300712
24.06.16,IBM,113.13,0.94361144
24.06.16,INTC,27.148,0.956350199
24.06.16,JNJ,99.332,0.985090939
24.06.16,JPM,50.546,0.930522949
24.06.16,KO,36.431,0.974489687
24.06.16,MCD,103.57,0.985397182
24.06.16,MMM,143.67,0.971339935
24.06.16,MRK,46.769,0.968793314
24.06.16,MSFT,45.638,0.959930631
24.06.16,NKE,49.497,0.971729435
24.06.16,PG,69.461,0.976843906
24.06.16,TRV,97.014,0.975142912
24.06.16,UNH,125.86,0.986349134
